first_name,last_name,email,is_email_valid,city
John,Doe,john.doe@gmail.com,True,Paris
Jane,Smith,jane.smith@gmail,False,Paris
Alice,Dupont,alice.dupont@gmail.com,True,Lyon
Bob,Martin,bob.martin@gmail.com,True,
Charlie,Brown,charlie.brown@gmail.com,True,Marseille
Marie,Curie,marie.curie@gmail.com,True,Paris
Paul,,paul@gmail.com,True,Lille
Lucas,Bernard,lucas.bernard@gmail,False,Lyon
Emma,Durand,emma.durand@gmail.com,True,Lyonn
Leo,Moreau,leo.moreau@gmail.com,True,Nice
Chloe,Petit,chloe.petit@gmail.com,True,Marseile
Nathan,Robert,nathan.robert@gmail.com,True,Toulouse
Manon,Richard,,False,Bordeaux
Louis,Garcia,louis.garcia@gmail.com,True,Bordeaux
Camille,Roux,camille.roux@gmail.com,True,Lyon
Julien,Faure,julien.faure@gmail.com,True,Paris
Sarah,Andre,sarah.andre@gmail.com,True,Paris
Antoine,Mercier,antoine.mercier@gmail.com,True,Pariss
Lea,Blanc,lea.blanc@gmail.com,True,Strasbourg
